"orderRef","status","payMethod","customer","createdAt","amount","amountPaid","site","cartItems"
"Order - 1583059017961","Paid","5e418d9c1c2bfe2f15f86a60","5e41cb681c2bfe2f15f86a71",1583059017961,240000,240000,"Okutukutu","[{""prodId"":""5e42ab2f1e2807574d4bf2c6"",""name"":""19L Dispenser Refill"",""price"":400,""qty"":600,""amount"":240000}]"
"Order - 1583165706942","Paid","5e418d921c2bfe2f15f86a5f","5e41cb681c2bfe2f15f86a71",1583165706942,20000,20000,"Okutukutu","[{""prodId"":""5e42ab2f1e2807574d4bf2c6"",""name"":""19L Dispenser Refill"",""price"":400,""qty"":50,""amount"":20000}]"
"Order - 1583168141270","Paid","5e418d921c2bfe2f15f86a5f","5e41cb681c2bfe2f15f86a71",1583168141270,20000,20000,"Okutukutu","[{""prodId"":""5e42ab2f1e2807574d4bf2c6"",""name"":""19L Dispenser Refill"",""price"":400,""qty"":50,""amount"":20000}]"
"Order - 1583220084195","Paid","5e418d9c1c2bfe2f15f86a60","5e41cb681c2bfe2f15f86a71",1583220084195,2000,2000,"Okutukutu","[{""prodId"":""5e42ab2f1e2807574d4bf2c6"",""name"":""19L Dispenser Refill"",""price"":400,""qty"":5,""amount"":2000}]"
"Order - 1583239367785","Paid","5e418d9c1c2bfe2f15f86a60","5e41cb681c2bfe2f15f86a71",1583239367785,391500,391500,"Okutukutu","[{""prodId"":""5e42ab2f1e2807574d4bf2c6"",""name"":""19L Dispenser Refill"",""price"":400,""qty"":900,""amount"":360000},{""prodId"":""5e4b95b3186081cb5aa9e839"",""name"":""50cl Pure Water"",""price"":70,""qty"":450,""amount"":31500}]"
"Order - 1583239798893","Paid","5e418d921c2bfe2f15f86a5f","5e4116ea865c751fd4307d4a",1583239798893,27000,27000,"Okutukutu","[{""prodId"":""5e42ab2f1e2807574d4bf2c6"",""name"":""19L Dispenser Refill"",""price"":400,""qty"":50,""amount"":20000},{""prodId"":""5e4b95b3186081cb5aa9e839"",""name"":""50cl Pure Water"",""price"":70,""qty"":100,""amount"":7000}]"
"Order - 1583242943855","Paid","5e418d921c2bfe2f15f86a5f","5e4116ea865c751fd4307d4a",1583242943855,258000,258000,"Okutukutu","[{""prodId"":""5e4b95b3186081cb5aa9e839"",""name"":""50cl Pure Water"",""price"":70,""qty"":900,""amount"":63000},{""prodId"":""5e42abd31e2807574d4bf2c7"",""name"":""19L Fido Dispenser Replace"",""price"":1950,""qty"":100,""amount"":195000}]"
"Order - 1583244028069","Paid","5e418d851c2bfe2f15f86a5e","5e4116ea865c751fd4307d4a",1583244028069,83000,83000,"Okutukutu","[{""prodId"":""5e4b95b3186081cb5aa9e839"",""name"":""50cl Pure Water"",""price"":70,""qty"":900,""amount"":63000},{""prodId"":""5e42ab2f1e2807574d4bf2c6"",""name"":""19L Dispenser Refill"",""price"":400,""qty"":50,""amount"":20000}]"
"Order - 1583244342465","Paid","5e418d921c2bfe2f15f86a5f","5e41ca171c2bfe2f15f86a70",1583244342465,74500,74500,"Okutukutu","[{""prodId"":""5e4b95b3186081cb5aa9e839"",""name"":""50cl Pure Water"",""price"":70,""qty"":500,""amount"":35000},{""prodId"":""5e42abd31e2807574d4bf2c7"",""name"":""19L Fido Dispenser Replace"",""price"":1950,""qty"":10,""amount"":19500},{""prodId"":""5e42ab2f1e2807574d4bf2c6"",""name"":""19L Dispenser Refill"",""price"":400,""qty"":50,""amount"":20000}]"
"Order - 1583271739313","Paid","5e418d681c2bfe2f15f86a5d","5e41ca171c2bfe2f15f86a70",1583271739313,203500,203500,"Okutukutu","[{""prodId"":""5e42ab2f1e2807574d4bf2c6"",""name"":""19L Dispenser Refill"",""price"":400,""qty"":500,""amount"":200000},{""prodId"":""5e4b95b3186081cb5aa9e839"",""name"":""50cl Pure Water"",""price"":70,""qty"":50,""amount"":3500}]"
