"orderRef","status","payMethod","customer","createdAt","amount","amountPaid","site","cartItems"
"Order - 1582537876545","Paid","5e418d921c2bfe2f15f86a5f","5e41ca171c2bfe2f15f86a70",1582537876545,30580,30580,"Okutukutu","[{""prodId"":""5e42aaf71e2807574d4bf2c5"",""name"":""50cl Crate"",""price"":556,""qty"":55,""amount"":30580}]"
"Order - 1582538211269","Paid","5e418d851c2bfe2f15f86a5e","5e4116ea865c751fd4307d4a",1582538211269,22000,22000,"Okutukutu","[{""prodId"":""5e42ab2f1e2807574d4bf2c6"",""name"":""19L Dispenser Refill"",""price"":400,""qty"":55,""amount"":22000}]"
"Order - 1582625430123","Paid","5e418d921c2bfe2f15f86a5f","5e41cb681c2bfe2f15f86a71",1582625430123,27800,27800,"Okutukutu","[{""prodId"":""5e42aaf71e2807574d4bf2c5"",""name"":""50cl Crate"",""price"":556,""qty"":50,""amount"":27800}]"
"Order - 1582629997071","Paid","5e418d9c1c2bfe2f15f86a60","5e411647865c751fd4307d49",1582629997071,1098500,1098500,"Okutukutu","[{""prodId"":""5e42aaf71e2807574d4bf2c5"",""name"":""50cl Crate"",""price"":556,""qty"":500,""amount"":278000},{""prodId"":""5e4b95b3186081cb5aa9e839"",""name"":""50cl Pure Water"",""price"":61,""qty"":500,""amount"":30500},{""prodId"":""5e528ebb3d439101bbd67048"",""name"":""19L Fido Dispenser Replace2"",""price"":1950,""qty"":400,""amount"":780000},{""prodId"":""5e524af189eaa63531aeb3c6"",""name"":""FIdo Recycles"",""price"":500,""qty"":20,""amount"":10000}]"
